Date Added,ICCID,Device ID,Cycle to Date Usage (MB),In Session,Modem ID,MSISDN,Customer,End Consumer ID,Usage Limit Reached,IMSI,SIM Status,Activated,Operator Account ID,Migrated SIM,Device Type,EID,SIM Profile ID
10/15/2024 11:09 AM GST,8997112212776217913,,0,No,,971831008684147,,,No,424024014187777,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217920,,0,No,,971831008541953,,,No,424024014187784,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217919,,0,No,,971831008616676,,,No,424024014187783,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217911,,0,No,,971831008309652,,,No,424024014187775,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217915,,0,No,,971831008695873,,,No,424024014187779,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217914,,0,No,,971831008671337,,,No,424024014187778,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217910,,0,No,,971831008693944,,,No,424024014187774,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217909,,0,No,,971831008616138,,,No,424024014187773,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217905,,0,No,,971831008468726,,,No,424024014187769,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217912,,0,No,,971831008682873,,,No,424024014187776,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217908,,0,No,,971564191959,,,No,424024014187772,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217907,,0,No,,971831100630498,,,No,424024014187771,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217906,,0,No,,971831008650547,,,No,424024014187770,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217902,,0,No,,971831008666895,,,No,424024014187766,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217904,,0,No,,971831008616574,,,No,424024014187768,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217903,,0,No,,971831008690611,,,No,424024014187767,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217899,,0,No,,971831008642370,,,No,424024014187763,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217898,,0,No,,971831008643032,,,No,424024014187762,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217900,,0,No,,971831008696748,,,No,424024014187764,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217894,,0,No,,971831008521880,,,No,424024014187758,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217901,,0,No,,971831008611379,,,No,424024014187765,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217897,,0,No,,971831008604658,,,No,424024014187761,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217896,,0,No,,971831008610414,,,No,424024014187760,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217895,,0,No,,971831008652387,,,No,424024014187759,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217892,,0,No,,971831008600578,,,No,424024014187756,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217891,,0,No,,971831008687819,,,No,424024014187755,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217890,,0,No,,971831008697676,,,No,424024014187754,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217886,,0,No,,971831008698143,,,No,424024014187750,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217888,,0,No,,971831008559443,,,No,424024014187752,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217893,,0,No,,971831008601080,,,No,424024014187757,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217887,,0,No,,971831008520152,,,No,424024014187751,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217889,,0,No,,971831008541164,,,No,424024014187753,Test Ready,,770257074 ,No,,,ETI M2M SIM
10/15/2024 11:09 AM GST,8997112212776217885,,0,No,,971831008657178,,,No,424024014187749,Test Ready,,770257074 ,No,,,ETI M2M SIM
